"Parlamentar","Partido","UF","Cargo","Genero","Cargo_MesaDiretora"
"Ivan Bonato","PFL","SC","Senador","Male","Sem cargo"
"Jamil Haddad","PSB","RJ","Senador","Male","Sem cargo"
"Jarbas Passarinho","PDS","PA","Senador","Male","Sem cargo"
"João Calmon","PMDB","ES","Senador","Male","Sem cargo"
"João Castelo","PDS","MA","Senador","Male","Sem cargo"
"João Lobo","PFL","PI","Senador","Male","Sem cargo"
"João Menezes","PFL","PA","Senador","Male","Sem cargo"
"Jorge Bornhausen","PFL","SC","Senador","Male","Sem cargo"
"José Agripino","PFL","RN","Senador","Male","Sem cargo"
"José Fogaça","PMDB","RS","Senador","Male","Sem cargo"
"José Ignácio Ferreira","PMDB","ES","Senador","Male","Sem cargo"
"José Paulo Bisol","PSDB","RS","Senador","Male","Sem cargo"
"José Richa","PSDB","PR","Senador","Male","Sem cargo"
"Jutahy Magalhães","PMDB","BA","Senador","Male","Sem cargo"
"Lavoisier Maia","PDS","RN","Senador","Male","Sem cargo"
"Leite Chaves","PMDB","PR","Senador","Male","Sem cargo"
"Leopoldo Peres","PMDB","AM","Senador","Male","Sem cargo"
"Louremberg Nunes Rocha","PMDB","MT","Senador","Male","Sem cargo"
"Lourival Baptista","PDS","SE","Senador","Male","Sem cargo"
"Luiz Viana","PMDB","BA","Senador","Male","Sem cargo"
"Mansueto De Lavor","PMDB","PE","Senador","Male","Sem cargo"
"Marcelo Miranda","PMDB","MS","Senador","Male","Sem cargo"
"Marcio Lacerda","PMDB","MT","Senador","Male","Sem cargo"
"Marco Maciel","PFL","PE","Senador","Male","Sem cargo"
"Marcondes Gadelha","PFL","PB","Senador","Male","Sem cargo"
"Mário Covas","PSDB","SP","Senador","Male","Sem cargo"
"Mário Maia","PMDB","AC","Senador","Male","2º Secretário"
"Maurício Corrêa","PDT","DF","Senador","Male","Sem cargo"
"Mauro Benevides","PMDB","CE","Senador","Male","1º Vice-Presidente"
"Mauro Borges","PMD","GO","Senador","Male","Sem cargo"
"Meira Filho","PMDB","DF","Senador","Male","Sem cargo"
"Mendes Canale","PSDB","MS","Senador","Male","Sem cargo"
"Nabor Júnior","PMDB","AC","Senador","Male","Sem cargo"
"Nelson Carneiro","PMDB","RJ","Senador","Male","Sem cargo"
"Nelson Wedekin","PMDB","SC","Senador","Male","Sem cargo"
"Ney Maranhão","PMB","PE","Senador","Male","Sem cargo"
"Nivaldo Machado","PFL","PE","Senador","Male","Sem cargo"
"Odacir Soares","PFL","RO","Senador","Male","Sem cargo"
"Olavo Pires","PMDB","RO","Senador","Male","Sem cargo"
"Pompeu De Souza","PSDB","DF","Senador","Male","Sem cargo"
"Rachid Saldanha Derzi","PMDB","MS","Senador","Male","Sem cargo"
"Raimundo Lira","PMDB","PB","Senador","Male","Sem cargo"
"Roberto Campos","PDS","MT","Senador","Male","Sem cargo"
"Ronaldo Aragão","PMDB","RO","Senador","Male","Sem cargo"
"Ronan Tito","PMDB","MG","Senador","Male","Sem cargo"
"Ruy Bacelar","PMDB","BA","Senador","Male","Sem cargo"
"Severo Gomes","PMDB","SP","Senador","Male","Sem cargo"
"Teotônio Vilela Filho","PMDB","AL","Senador","Male","Sem cargo"
"Virgílio Távora","PDS","CE","Senador","Male","Sem cargo"
"Wilson Martins","PMDB","MS","Senador","Male","Sem cargo"
